Title_i, ID_i, Doc_j, ID_j, Cosine Similarity
4,400317,282,326432,0.5663317
65,379619,107,370331,0.5481935
69,378528,391,197345,0.5794911
81,376368,98,371807,0.8333018
81,376368,235,336432,0.852314
83,376023,187,345826,0.5644937
98,371807,235,336432,0.7639433
100,371158,163,352255,0.509357
100,371158,172,349770,0.6466343
130,360299,161,352933,0.5074054
146,356397,179,347720,0.6460999
156,353367,184,346137,0.5718886
157,353263,335,286294,0.6412341
166,350272,187,345826,0.6108583
188,345212,189,345211,0.6968788
213,339791,337,283200,0.6048634
226,338352,345,263610,0.535518
269,330167,369,229817,0.6715367
272,329577,273,329575,0.6755672
306,316881,415,156742,0.5280661
306,316881,424,102854,0.6656352
311,311966,347,259291,0.5380617
349,256530,424,102854,0.5334241
402,174431,417,154095,0.5055734
415,156742,424,102854,0.6245049
