feature_id; dup_id; rank; sim
4571;12704;1;0.5325
7350;11334;1;0.5827
9135;11010;1;0.4679
11563;15582;24;0.3595
11622;11621;2;0.9553
11623;11621;2;0.9553
11694;23116;1;0.5473
11725;19089;3;0.3937
11889;8617;10;0.4043
12229;18829;4;0.2623
12288;7880;3;0.4477
12561;7898;3;0.7181
13050;25352;62;0.2225
13129;16467;125;0.2052
13327;11010;11;0.3178
13362;13717;2;0.5478
13963;13050;6;0.3629
14067;11010;21;0.2649
14959;10601;1;0.5686
15106;7898;3;0.7034
15840;9310;4;0.3535
15875;13348;1;0.5798
17007;7898;3;0.7062
17411;16174;2;0.4504
17900;16339;8;0.3263
17901;17900;1;0.8844
18061;17674;1;0.4392
18472;20327;4;0.2985
18481;15582;42;0.3244
18516;18591;3;0.4747
18656;17829;43;0.2810
18728;13475;3;0.2800
18761;9679;9;0.4047
18803;19433;19;0.2179
18924;13348;2;0.4449
19346;20323;1;0.5214
19798;17411;1;0.6105
19927;11334;3;0.2889
20324;15267;24;0.3211
20486;7551;8;0.2926
20642;16542;8;0.3705
21020;16648;7;0.2693
21231;20087;11;0.3051
21838;20147;2;0.6192
22145;7706;1;0.5832
22947;22948;1;0.5341
23613;16339;1;0.6296
23924;28083;20;0.3661
24785;24786;1;0.5674
24890;20052;1;0.4449
25233;9047;1;0.5420
26299;20323;3;0.3396
26476;7067;9;0.2963
26504;22494;1;0.4894
26576;21686;1;0.4029
26936;18802;5;0.5837
27210;27444;3;0.5886
27296;20323;9;0.3718
27913;54042;5;0.5832
29104;27490;64;0.1589
30360;20414;10;0.2005
34376;56855;3;0.4445
35133;35132;1;0.8771
39913;40648;37;0.2446
41482;20323;5;0.5549
45174;43165;1;0.7932
48430;67042;5;0.3336
48955;46225;37;0.0954
51430;24614;1;0.5279
56600;34699;1;0.4070
57866;2710;21;0.2782
61207;19631;7;0.1988
70531;126120;29;0.1970
70623;39545;1;0.4543
86741;72923;2;0.5091
87176;72923;4;0.4371
100563;82841;8;0.4087
101092;60368;3;0.5795
107894;103461;1;0.7307
124014;64540;1;0.6801
126019;123469;14;0.3011
129898;127007;3;0.3494
134537;109538;3;0.3260
134576;126575;5;0.4006
135390;103461;12;0.3875
136002;119651;1;0.6479
149252;135747;35;0.4283
151437;142336;3;0.5957
155375;30187;38;0.3099
182053;175217;6;0.0770
184321;153331;1;0.7245
206517;206516;1;0.9001
1035;69277;10;0.3247
9608;72103;7;0.3212
