Report on NB Model:
                         precision  recall  f1-score  support
              apiAnswer         0.85      0.64        0.73  44.4
            apiQuestion         0.42      0.32        0.36  18.0
    clarificationAnswer          0.3      0.17        0.21  30.0
  clarificationQuestion         0.24      0.13        0.16  40.0
           confirmation         0.71      0.71        0.71  45.8
    documentationAnswer         0.37      0.47        0.41  5.2
   implementationAnswer         0.16      0.14        0.15  8.0
 implementationQuestion         0.47      0.39        0.42  10.8
implementationStatement         0.08      0.13         0.1  3.0
            instruction         0.81      0.57        0.67  51.2
           introduction         0.88      0.81        0.83  10.6
              statement         0.58      0.24        0.34  63.4
           systemAnswer         0.34      0.33        0.33  5.4
         systemQuestion         0.14      0.12        0.13  4.8
           unsureAnswer         0.62      0.64        0.61  6.0

            avg / total         0.57      0.42        0.47  23.11

