Title_i;ID_i;Doc_j;ID_j;Cosine Similarity
20;409;1245;6340;0.5188386
24;428;1164;5496;0.6566895
57;535;777;1263;0.5115051
62;549;1236;6301;0.5082905
66;556;807;1558;0.6082591
68;563;776;1255;0.5012779
70;570;586;4061;0.6223655
70;570;587;4062;0.6223655
70;570;1021;4060;0.6223655
74;592;1265;6413;0.5395811
85;647;86;649;0.5634539
86;649;85;647;0.5634539
88;657;135;846;0.5423121
95;691;361;2390;0.7052265
99;701;142;879;0.5675603
115;781;201;1308;0.5088612
115;781;1137;5198;0.5465986
135;846;88;657;0.5423121
142;879;99;701;0.5675603
147;923;387;2557;0.5237206
159;995;429;2855;0.5575745
174;1068;764;1067;0.989567
176;1076;1266;6420;0.5297948
177;1083;910;2995;0.5734233
201;1308;115;781;0.5088612
201;1308;780;1309;0.5186425
211;1363;212;1364;0.5495631
211;1363;309;2062;0.8797975
211;1363;571;3936;0.5461885
211;1363;607;4469;0.5154828
212;1364;211;1363;0.5495631
212;1364;309;2062;0.5299419
218;1417;792;1416;1
233;1587;1133;5146;0.5469657
240;1638;241;1639;0.7677252
240;1638;812;1640;0.5442614
241;1639;240;1638;0.7677252
241;1639;812;1640;0.556615
279;1824;812;1640;0.6178052
285;1870;643;4973;0.5714172
285;1870;1263;6411;0.563409
289;1880;832;1896;0.5554103
290;1892;1140;5273;0.509667
304;1998;305;1999;0.9601385
305;1999;304;1998;0.9601385
309;2062;211;1363;0.8797975
309;2062;212;1364;0.5299419
309;2062;607;4469;0.5168704
322;2166;325;2169;0.542101
323;2167;324;2168;1
324;2168;323;2167;1
325;2169;322;2166;0.542101
327;2191;943;3280;0.6559218
332;2211;425;2836;0.6271257
351;2328;812;1640;0.6193241
352;2330;1203;5850;0.547496
361;2390;95;691;0.7052265
368;2424;860;2425;0.5364019
369;2429;395;2605;0.5111338
370;2433;453;3040;0.5129597
370;2433;1119;5067;0.5156789
372;2473;1080;4740;0.5270048
380;2513;780;1309;0.5588678
387;2557;147;923;0.5237206
389;2560;643;4973;0.6622471
389;2560;1263;6411;0.7893023
395;2605;369;2429;0.5111338
406;2687;888;2688;0.5985418
425;2836;332;2211;0.6271257
429;2855;159;995;0.5575745
433;2907;900;2906;0.9083581
437;2931;906;2932;0.6244243
453;3040;370;2433;0.5129597
469;3107;614;4570;0.5019361
469;3107;1054;4365;0.585361
481;3204;932;3203;0.8224162
524;3459;1029;4152;0.5110554
542;3582;612;4540;0.5025461
566;3861;645;4983;0.5906849
566;3861;1265;6413;0.6349245
570;3933;898;2854;0.7062212
571;3936;211;1363;0.5461885
571;3936;1154;5441;0.5049351
582;4055;583;4056;1
582;4055;1019;4054;1
583;4056;582;4055;1
583;4056;1019;4054;1
584;4058;585;4059;0.9999999
584;4058;1020;4057;0.9999999
585;4059;584;4058;0.9999999
585;4059;1020;4057;0.9999999
586;4061;70;570;0.6223655
586;4061;587;4062;1
586;4061;1021;4060;1
587;4062;70;570;0.6223655
587;4062;586;4061;1
587;4062;1021;4060;1
598;4236;1263;6411;0.5021977
607;4469;211;1363;0.5154828
607;4469;309;2062;0.5168704
612;4540;542;3582;0.5025461
614;4570;469;3107;0.5019361
625;4772;1087;4771;0.949813
629;4796;1146;5379;0.6355289
633;4828;1098;4827;1
643;4973;285;1870;0.5714172
