feature_id; dup_id; rank; sim
13;471;4;0.2413
57;923;71;0.0608
365;445;28;0.1228
369;656;4;0.1394
370;1021;73;0.0985
496;2433;25;0.1767
536;2747;232;0.0464
657;504;46;0.1075
723;3497;58;0.0919
793;678;18;0.1414
824;662;1;0.2895
894;758;1;0.3586
965;862;2;0.4287
994;499;1;0.4655
995;862;5;0.2104
1071;3497;35;0.1382
1350;206;24;0.1401
1383;1048;43;0.1371
1402;847;1;0.4182
1409;917;101;0.0929
1417;1416;1;1.0000
1436;1048;2;0.3631
1460;862;2;0.3381
1618;927;1;0.2582
1680;662;6;0.1771
1735;1972;7;0.1599
1755;2517;5;0.3025
1797;1521;164;0.0810
1870;808;16;0.1993
1878;1446;5;0.3342
1921;917;1;0.4009
1951;817;8;0.1986
1998;1999;1;0.9601
2062;2947;19;0.1961
2139;445;13;0.2293
2167;2168;1;1.0000
2193;1972;4;0.2900
2219;2225;46;0.1578
2308;662;4;0.2045
2372;1099;82;0.0676
2390;691;1;0.7052
2415;2211;63;0.1215
2513;1309;1;0.5589
2523;7;2;0.3439
2560;1330;12;0.2664
2561;723;14;0.1423
2617;2211;1;0.4725
2645;1216;1;0.2787
2660;862;4;0.2659
2741;2962;8;0.1662
2765;1847;5;0.1248
2798;2947;12;0.2205
2836;2211;1;0.6271
2855;2660;3;0.4496
2887;2364;2;0.2204
2907;2906;1;0.9084
2910;1048;10;0.1711
2917;2364;1;0.2653
2960;2211;2;0.3647
3019;2364;6;0.1464
3033;2624;4;0.1640
3096;1009;18;0.1685
3152;1843;8;0.1849
3200;2225;9;0.2227
3242;1753;2;0.2836
3243;2852;3;0.2835
3439;3548;57;0.0807
3500;3361;2;0.2522
3550;3439;1;0.2555
3757;3324;1;0.2793
3761;3106;42;0.1002
3809;1048;1;0.2268
3828;1834;5;0.2892
3861;1834;10;0.2143
3933;2854;1;0.7062
4055;4054;2;1.0000
4056;4054;2;1.0000
4058;4057;2;1.0000
4059;4057;2;1.0000
4061;4060;2;1.0000
4062;4060;2;1.0000
4096;7;3;0.2477
4105;4060;3;0.2919
4175;3497;9;0.1501
4236;808;13;0.1727
4423;420;2;0.1885
4469;2947;8;0.2952
4772;4771;1;0.9498
4807;3497;9;0.1520
4828;4827;1;1.0000
4915;4763;1;0.3518
4973;808;12;0.2668
4983;1834;7;0.3498
5033;4060;36;0.1521
5034;1834;10;0.2200
5102;808;34;0.1517
5383;610;14;0.1477
5467;4470;208;0.0428
5804;1834;5;0.2645
5822;5823;1;0.9894
5924;1834;10;0.1864
