feature_id; dup_id; rank; sim
13;471;1;0.4037
57;923;2;0.2922
365;445;22;0.1306
369;656;2;0.2485
370;1021;38;0.1231
496;2433;1;0.2298
536;2747;47;0.1458
657;504;4;0.3453
723;3497;53;0.1635
793;678;6;0.2499
824;662;3;0.3084
894;758;1;0.5203
965;862;3;0.3561
994;499;1;0.7788
995;862;9;0.2613
1071;3497;20;0.2335
1350;206;6;0.3388
1383;1048;73;0.1174
1402;847;2;0.3092
1409;917;61;0.1030
1417;1416;1;0.6095
1436;1048;1;0.4488
1460;862;4;0.3385
1618;927;1;0.2506
1680;662;8;0.1713
1735;1972;1;0.5654
1755;2517;2;0.4351
1797;1521;68;0.0970
1870;808;2;0.7958
1878;1446;3;0.4190
1921;917;2;0.3562
1951;817;80;0.0962
1998;1999;1;0.4560
2062;2947;25;0.1714
2139;445;1;0.2471
2167;2168;1;0.8996
2193;1972;2;0.5341
2219;2225;12;0.2021
2308;662;2;0.1928
2372;1099;3;0.1845
2390;691;1;0.5868
2415;2211;7;0.2298
2513;1309;1;0.7034
2523;7;2;0.5301
2560;1330;6;0.3779
2561;723;20;0.1421
2617;2211;2;0.4067
2645;1216;5;0.4419
2660;862;5;0.2847
2741;2962;16;0.1460
2765;1847;3;0.1484
2798;2947;37;0.1962
2836;2211;2;0.4504
2855;2660;3;0.3007
2887;2364;3;0.2169
2907;2906;1;0.3520
2910;1048;8;0.1802
2917;2364;1;0.3012
2960;2211;3;0.2250
3019;2364;2;0.2045
3033;2624;1;0.7567
3096;1009;12;0.2834
3152;1843;6;0.1777
3200;2225;44;0.2209
3242;1753;3;0.3109
3243;2852;2;0.2799
3439;3548;2;0.2979
3500;3361;1;0.4639
3550;3439;2;0.2239
3757;3324;1;0.6249
3761;3106;37;0.1034
3809;1048;3;0.2519
3828;1834;2;0.4621
3861;1834;7;0.4444
3933;2854;1;0.6107
4055;4054;2;0.9180
4056;4054;2;0.9180
4058;4057;2;0.9762
4059;4057;2;0.9762
4061;4060;2;0.7193
4062;4060;2;0.7193
4096;7;2;0.2707
4105;4060;32;0.2149
4175;3497;22;0.1929
4236;808;5;0.4807
4423;420;2;0.4410
4469;2947;14;0.2672
4772;4771;1;0.5705
4807;3497;4;0.1698
4828;4827;1;0.7714
4915;4763;1;0.5524
4973;808;5;0.4969
4983;1834;7;0.5899
5033;4060;1;0.4210
5034;1834;7;0.4804
5102;808;5;0.4581
5383;610;20;0.2163
5467;4470;654;0.0301
5804;1834;1;0.6106
5822;5823;1;0.8936
5924;1834;6;0.5176
