Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
13;11909;1986;16638;0,5280284
16;15920;1471;23575;0,5513489
17;15926;3851;182619;0,5075384
34;23622;3775;169242;0,5658609
43;28061;843;203949;0,5528099
47;30209;1778;118550;0,536114
50;30543;1374;19499;0,6938324
80;35842;1525;26936;0,5010554
83;36823;84;36824;0,6622281
87;37755;515;150576;0,5853597
87;37755;2939;68083;0,563229
87;37755;3103;84840;0,5074272
97;40248;671;178474;0,5958091
97;40248;2552;40067;0,5249256
97;40248;2955;69535;0,5791378
97;40248;3109;86078;0,566981
99;40825;3456;125746;0,6583932
100;40976;2569;40816;0,5279389
106;45941;2668;47854;0,5417994
106;45941;2752;54470;0,522646
107;46340;3327;108254;0,5146319
107;46340;3460;126120;0,5838377
119;49619;2693;49618;0,5458345
120;49813;2810;57798;0,5221331
127;51660;208;73640;0,5976121
127;51660;259;90211;0,5699734
127;51660;271;93451;0,5441027
127;51660;382;119749;0,6431899
127;51660;425;125442;0,5042371
127;51660;470;135264;0,5782333
127;51660;1766;105570;0,5188368
127;51660;2868;62964;0,6356448
127;51660;3110;86093;0,5641323
127;51660;3148;90213;0,5427847
127;51660;3213;97812;0,5033229
127;51660;3635;149098;0,5370388
127;51660;3872;185557;0,6326328
128;52299;170;65639;0,5432153
128;52299;1895;5774;0,6017998
132;53612;2988;72491;0,5226704
132;53612;3476;127810;0,6068619
132;53612;3540;135747;0,572515
132;53612;3680;154125;0,5335649
135;56009;647;174492;0,6453892
135;56009;2815;58240;0,6335274
135;56009;2935;67968;0,5104005
135;56009;2936;67974;0,6381491
135;56009;3321;107880;0,6550596
135;56009;3334;108928;0,5890666
141;57496;296;99206;0,518805
145;59043;146;59046;0,5338647
145;59043;187;69660;0,5477961
145;59043;2686;49507;0,5424772
146;59046;187;69660;0,5302446
146;59046;240;84550;0,5484139
146;59046;544;155061;0,5627414
146;59046;2686;49507;0,5985044
152;59954;346;109295;0,5182323
159;61437;221;79043;0,5038757
165;63758;169;65096;0,5539759
165;63758;197;71418;0,5457986
165;63758;2425;35596;0,5379589
165;63758;2516;37946;0,5075243
165;63758;2939;68083;0,6169329
169;65096;197;71418;0,5912499
169;65096;515;150576;0,500546
169;65096;2516;37946;0,5510553
169;65096;2939;68083;0,5949868
169;65096;3103;84840;0,5170493
179;67463;1608;34990;0,516144
184;69277;938;218753;0,5004497
184;69277;4190;227953;0,571184
187;69660;240;84550;0,5650333
187;69660;544;155061;0,5642682
187;69660;2686;49507;0,7459448
193;70863;2605;42122;0,5052216
195;71011;316;103851;0,5824094
195;71011;399;123004;0,6121388
195;71011;473;135875;0,5217513
195;71011;540;153941;0,6324594
195;71011;558;157436;0,5437261
195;71011;860;206480;0,5758531
195;71011;966;223136;0,5200509
195;71011;1545;28623;0,5554422
195;71011;1589;33196;0,5934547
195;71011;1830;149252;0,621161
